desk,IsA,place,1.0
desk,IsA,table,2.828
desk,IsA,table,1.0
desk,IsA,table,2.0
drive,IsA,road,2.0
face,IsA,person,2.0
fly,IsA,hit,2.0
glass,IsA,glass,1.0
grass,IsA,plant,2.828
hand,IsA,side,2.0
hand,IsA,side,2.0
helmet,IsA,hat,2.828
hit,IsA,touch,2.0
home_plate,IsA,base,2.0
jacket,IsA,coat,1.0
jacket,IsA,coat,2.0
lookout,IsA,look,2.0
lookout,IsA,post,2.0
military_post,IsA,post,1.0
mountain,IsA,place,1.0
mouse,IsA,person,2.0
necktie,IsA,tie,1.0
newspaper,IsA,paper,2.0
oven,IsA,box,1.0
phone,IsA,telephone,1.0
post,IsA,position,2.0
professorship,IsA,position,2.0
ramp,IsA,ramp,1.0
ramp,IsA,ramp,1.0
setting,IsA,position,2.0
shorts,IsA,pants,1.0
sofa,IsA,chair,2.0
street,IsA,road,1.0
street,IsA,road,1.0
suitcase,IsA,baggage,1.0
suitcase,IsA,box,1.0
sunglasses,IsA,glasses,1.0
sunglasses,IsA,spectacles,2.0
table,IsA,table,1.0
terrace,IsA,bench,1.0
tree,IsA,plant,2.828
tree,IsA,plant,1.0
tugboat,IsA,boat,2.828
tugboat,IsA,boat,1.0
tugboat,IsA,boat,2.0
van,IsA,truck,1.0
van,IsA,car,2.0
van,IsA,truck,2.0
vanguard,IsA,position,2.0
watch,IsA,clock,2.828
watch,IsA,clock,1.0
wear,IsA,tie,1.0
workbench,IsA,table,1.0
chair,LocatedNear,desk,1.0
chair,LocatedNear,table,2.0
ball,PartOf,hand,2.0
base,PartOf,box,2.0
base,PartOf,lamp,2.0
car,PartOf,train,1.0
column,PartOf,newspaper,1.0
column,PartOf,table,1.0
column,PartOf,newspaper,2.0
corner,PartOf,building,2.0
corner,PartOf,building,2.0
counter,PartOf,shoe,2.0
crown,PartOf,hat,2.0
crown,PartOf,road,2.0
crown,PartOf,tree,2.0
engine,PartOf,car,3.464
engine,PartOf,motorcycle,1.0
engine,PartOf,train,1.0
face,PartOf,clock,2.0
face,PartOf,watch,2.0
fly,PartOf,pants,1.0
glass,PartOf,glass,2.0
keyboard,PartOf,computer,10.0
keyboard,PartOf,computer,2.0
monitor,PartOf,computer,6.0
monitor,PartOf,computer,2.0
mouse,PartOf,computer,4.472
roof,PartOf,building,2.0
roof,PartOf,bus,2.0
roof,PartOf,car,2.0
roof,PartOf,truck,2.0
shelf,PartOf,buffet,2.0
shelf,PartOf,cabinet,2.0
steering_wheel,PartOf,car,1.0
string,PartOf,kite,1.0
terrace,PartOf,building,1.0
